word,count
abjectly,1
able,2
absence,2
accepted,1
access,7
accessed,4
according,4
accounts,1
accumulated,1
achievements,1
acknowledge,1
acknowledged,3
acknowledgement,1
across,4
actions,1
activities,1
actual,1
ad,1
add,1
added,4
address,1
addressed,2
addressing,1
adhere,2
adjust,1
admission,1
ads,4
adult,1
advertisements,4
advertisers,2
advertising,2
advocates,1
affected,1
aggregateiq,2
ago,1
agreed,1
aleksandr,1
alert,1
algorithms,2
allegations,2
alleged,1
allow,1
allowed,1
allowing,1
almost,3
along,1
alphabet,4
already,9
also,10
although,1
america,1
american,2
americans,2
amid,1
among,2
amount,2
amounts,1
amy,1
analyst,1
analytica,26
analyticas,1
android,2
angelene,1
anick,1
announcing,2
answer,8
apologised,1
apologize,3
apologized,2
apologizing,1
apology,1
app,14
apparent,1
appear,10
appearances,1
appeared,2
appearing,1
appeased,1
apps,4
april,4
argue,1
argument,1
arizona,1
around,1
arrangements,1
ars,1
artists,2
asked,6
asks,1
assembling,1
assertions,1
associate,1
assuming,1
astonishing,1
attempts,2
attendance,1
attorneys,2
audit,2
australia,2
australian,1
authorities,1
avoided,1
away,1
awoken,1
back,1
background,1
backlash,2
bad,1
banks,1
banned,2
basically,1
become,2
begun,2
behalf,1
behavior,1
belatedly,1
believe,1
believed,1
belonging,1
better,1
big,5
bild,2
bill,4
billion,4
birth,1
blame,1
blithe,1
bought,1
bows,2
breach,10
breached,1
briefed,3
bring,1
britain,4
british,15
broken,1
brokers,1
build,1
building,2
built,5
business,2
call,4
called,9
calling,3
calls,4
cambridge,42
campaign,1
canadian,2
capitol,2
carried,1
cases,2
cast,1
cause,1
center,2
central,1
ceo,2
ceos,2
certify,1
chairman,1
challenged,1
change,1
changed,1
channel,1
channeled,1
channelled,1
charge,1
charles,1
checked,1
chief,16
chorus,1
chosen,1
chris,3
circulation,1
circumvented,1
citing,2
claims,1
clarence,1
clear,1
close,1
closed,2
cnn,3
colin,1
collect,4
collected,1
collecting,1
collection,1
collects,1
college,1
columbia,1
combat,1
combine,1
come,4
comes,1
coming,1
comment,4
comments,1
commerce,10
commission,3
commissioner,1
commit,1
committee,17
committees,1
companies,6
company,32
compared,1
competition,1
complex,2
computers,1
conceivably,1
concerns,5
conduct,2
conducted,2
conference,1
confirm,1
confirmation,1
confirmed,4
confront,1
congress,11
congressional,6
connect,1
conservative,1
consultancy,4
consulting,3
consumer,1
contact,2
content,3
continuing,3
contributed,1
control,1
controls,1
conversations,1
could,12
counted,1
cox,2
create,1
created,2
crisis,2
critical,1
criticism,5
crucial,1
cultural,1
customer,1
customers,1
cycling,1
damn,1
dark,1
data,72
day,5
deal,1
dealings,1
debra,1
decide,1
decided,2
decision,2
declined,2
default,1
defended,1
defense,2
deleted,3
deliberately,1
demanded,3
demanding,2
democrat,3
depending,1
deputy,1
described,2
deserve,3
deserves,1
designation,1
detailed,2
detected,1
deter,2
determine,4
detriment,1
developed,2
digital,3
directly,1
director,4
disclosed,1
disclosure,2
discord,1
discovered,1
discuss,4
disinformation,1
disputed,1
disrupted,1
distrust,1
donald,5
done,1
dorm,2
doubt,1
doubters,1
drawn,1
dropped,2
ducking,1
due,1
dustin,1
earlier,1
early,1
ed,1
editing,4
effect,1
efforts,1
either,1
elect,1
election,2
elections,2
elena,3
else,1
email,1
emarketer,1
embarked,1
embroiled,1
employees,5
enabling,1
encountered,1
encourage,1
ended,2
energy,7
engagement,1
engineers,1
enjoyed,1
enough,1
enterprise,1
entity,1
eric,1
especially,1
estimate,2
europe,3
european,1
even,6
eventually,2
every,2
evident,1
exactly,2
example,1
exceeding,1
executive,7
executives,2
expect,1
expected,1
experience,1
expertise,2
experts,1
explain,6
exploited,1
extraordinary,1
face,1
facebook,87
faced,2
faces,1
facing,1
fact,1
failed,2
failure,3
fake,1
fallen,2
familiar,2
fear,1
feature,2
federal,4
fell,1
figured,1
final,1
find,1
findings,1
fire,1
firm,8
first,8
fixed,1
following,1
follows,2
foreign,1
forensic,1
formally,3
fought,1
found,4
founded,1
founder,1
four,1
francisco,1
frequent,1
friday,1
friends,2
front,3
frustrated,1
frustration,1
ftc,2
full,2
fundamental,1
furor,1
gained,2
gathered,2
gathering,1
general,3
generally,2
german,1
germans,1
germany,1
get,1
gets,1
giant,1
giants,1
gitit,1
give,2
given,1
giving,1
global,5
go,3
good,3
google,4
got,2
gotten,1
government,1
governments,1
grasp,1
great,2
group,1
groups,1
growing,2
hackers,1
half,1
handing,2
handles,2
handling,3
hands,2
happen,1
harder,1
harrowing,1
harvard,1
harvest,1
harvested,3
harvesting,2
hashtag,1
head,2
hearing,3
hearings,1
held,2
help,3
helping,1
hernandez,2
hill,1
hired,4
hoaxes,1
hold,1
holding,1
hometown,1
house,7
hubris,1
hunkered,1
identified,2
identifies,1
identify,2
identity,1
illustrated,1
immediately,4
impact,1
impacts,1
important,2
improper,2
improperly,8
improve,1
inability,1
inappropriately,2
inc,7
incapable,1
includes,2
including,4
increasing,1
indicated,1
individual,1
individuals,1
industries,1
influence,5
information,18
ingrained,1
initially,1
inquiry,1
inside,1
insisting,2
installed,1
instead,2
intelligence,2
intensified,1
interest,2
interference,1
interfering,1
internet,4
interview,5
investigate,1
investigating,3
investigation,5
investigations,2
investor,2
invitations,5
invited,2
ip,2
israeli,1
issue,3
issued,1
james,3
jamie,1
jeffrey,1
jesdanun,1
john,1
join,1
jonathan,1
journalism,1
judiciary,6
juggernaut,1
kahn,1
kantar,1
kennedy,1
kevin,1
kind,1
knew,1
know,3
knowing,1
kogan,3
kuala,1
laid,1
lame,1
larger,1
largest,1
last,13
late,1
later,3
latest,3
lawmaker,1
lawmakers,7
laws,2
lawyers,1
lead,2
leaders,1
leaked,1
learning,2
least,1
leave,1
legislators,1
lengths,1
let,2
level,1
liability,1
lift,1
lifting,1
like,5
limit,1
limited,1
lines,1
list,1
listings,1
location,1
log,1
london,2
long,3
longer,1
looked,1
losing,1
lost,1
lot,1
made,5
magnitude,1
main,1
major,2
make,5
making,1
malware,1
many,4
marathon,1
march,5
mark,11
market,1
marketing,1
markets,1
massachusetts,1
massive,1
material,1
matter,5
matters,1
may,4
mean,1
meaningful,1
measures,1
meddling,2
media,11
meet,2
meeting,2
meetings,1
members,2
mention,1
message,1
messages,2
messaging,1
met,2
michael,1
microsoft,1
midterm,1
might,1
mike,2
million,9
millions,6
mining,1
misinformation,1
mistakes,2
misuse,1
mobile,1
model,1
molly,1
monday,6
monopoly,1
month,3
monthly,1
mostly,1
mounting,2
movement,1
much,4
multiple,3
mushroomed,1
must,1
named,1
national,1
nature,1
nearly,1
necessarily,1
need,5
needed,2
needs,1
negative,1
neither,1
network,5
networks,1
never,2
new,8
news,2
newspapers,5
next,2
nonprofit,1
noted,1
noticed,1
number,2
numbers,1
numeric,1
obey,2
oblivious,1
observer,3
obtained,5
occurred,1
offers,1
office,1
officer,4
often,2
one,6
online,5
open,2
opened,2
opinion,1
others,3
outcries,1
outcry,2
outlining,1
outside,3
paid,1
papers,1
parliament,1
parliamentary,3
part,5
particular,1
passage,1
passed,2
past,6
pays,1
penchant,1
people,19
percent,14
perry,1
person,2
personal,4
personality,4
personally,1
persuaded,1
phone,4
photos,1
picture,1
placed,1
plain,2
plan,2
planning,1
plans,4
plant,1
platform,7
platforms,1
played,1
point,2
policy,1
political,9
politicians,2
poll,4
polling,1
polls,1
pose,1
positive,1
possible,1
post,5
posted,1
potentially,2
power,1
powerful,1
practices,6
preparing,1
president,2
presidential,7
pressed,1
pressure,4
pretty,1
prevent,2
preventing,1
previously,1
privacy,21
probably,2
probe,1
problem,2
proceedings,1
product,3
profile,3
profiles,2
promised,2
prompted,1
protect,11
protection,2
protections,1
prove,1
psychologically,1
public,6
publicly,1
published,4
publishers,1
pull,1
pushing,1
put,1
putting,1
quell,1
question,2
questioned,1
questions,10
quietly,1
quit,1
quiz,6
raise,2
raised,3
ran,1
reaction,1
really,1
received,4
recent,2
recently,2
recognized,1
records,1
reeling,1
referendum,1
regulation,1
regulator,1
regulators,3
regulatory,1
reiterating,1
relationship,1
released,1
reluctant,1
remained,2
repair,1
repeated,1
repeatedly,1
replayed,1
report,1
reported,2
reporters,3
reporting,1
reports,6
represent,1
representative,2
representatives,2
republican,4
reputation,1
request,3
requests,3
requires,1
research,1
researcher,7
researchers,1
resisted,1
respond,4
response,2
responsibilities,1
responsibility,2
restrict,3
restricted,1
resulting,1
reuters,1
revelations,4
right,2
rightfully,1
road,1
rob,1
role,2
roll,1
room,1
roots,1
rule,1
rules,1
running,1
russia,1
russian,3
safe,1
safeguard,2
said,57
sandberg,1
say,7
saying,2
says,3
scam,2
scandal,2
scheduled,1
school,1
schroepfer,2
scraped,2
scrapers,2
scraping,1
scrutiny,2
search,3
searches,1
sector,2
secure,1
security,3
seems,1
sees,1
sells,1
senate,9
senator,5
senators,1
send,3
senior,2
sent,2
separate,1
serious,1
serve,1
servers,1
set,2
settings,1
several,2
sex,1
shady,1
share,3
shared,5
shares,3
sharing,2
sheryl,1
short,1
showed,1
shutting,1
sides,1
signed,1
silence,1
silicon,1
simplify,1
since,8
single,1
site,1
sleeves,1
small,1
social,20
software,2
sold,1
somehow,1
someone,4
something,1
sorry,2
sought,1
source,2
sparked,1
speaking,1
spectacle,1
spent,1
spoke,1
spokeswoman,5
spokeswomen,2
spread,1
spreading,1
staff,5
standing,1
started,2
starting,1
state,2
statement,3
states,6
staunch,1
steady,2
step,5
steps,3
stir,1
stock,1
strategy,1
street,1
students,1
stunning,1
success,1
suggesting,2
sunday,4
supplied,1
supporters,1
sure,2
surrounding,1
survey,1
susan,2
suspend,1
system,1
take,2
taken,1
taking,2
talked,1
talking,4
tangible,1
target,4
tax,2
tech,6
technica,1
technically,1
technology,4
telephone,1
television,2
ten,1
tens,2
tense,1
testified,1
testify,20
testimony,1
text,5
thing,2
things,1
think,3
though,1
thought,1
threaten,1
thursday,2
time,11
timeline,1
times,4
timothy,1
tiny,1
told,6
tom,1
took,3
top,1
tougher,2
tow,1
traced,1
track,2
traction,1
trade,4
transfer,1
transformation,1
tried,2
trip,1
troubles,1
trump,1
trust,8
try,1
trying,2
tuesday,6
tumbled,1
turn,3
turned,4
turns,1
tweet,1
tweeted,1
twitter,6
two,5
types,1
underbelly,1
understand,1
uneasy,1
unit,1
united,8
university,5
unnamed,1
unprecedented,1
unscrupulous,1
unusual,2
updated,1
updates,1
uploaded,1
urged,2
us,5
usage,2
use,8
used,14
useful,1
user,14
users,16
uses,1
using,2
vague,1
valley,1
value,1
valued,1
violated,1
violating,1
volz,1
voters,5
wall,1
wanted,1
washington,4
way,6
website,2
wednesday,6
week,11
weekend,1
well,5
went,2
whatsapp,1
whether,4
whistleblower,4
white,1
whose,2
william,1
williamson,1
winterton,1
within,1
without,2
work,6
worked,3
workplace,1
worldwide,1
worrying,1
worst,3
would,14
writer,1
wrongdoing,1
wrote,2
year,4
years,7
york,10
zuckerberg,59
